"","k","Calinski-Harabasz","Silhouette"
"1",2,15.5096937669401,0.152208695880599
"2",3,104.220572052233,0.20428251860248
"3",4,130.849548689332,0.212953665613285
"4",5,162.802372091352,0.251827669918252
"5",6,147.023639223753,0.254342257752245
"6",7,126.017671565321,0.254098863212852
"7",8,114.775825393431,0.236964968830597
"8",9,120.513706595699,0.235938966362081
"9",10,110.833157013431,0.239296781623012
"10",11,102.825167884186,0.242106603710563
"11",12,94.1863478361507,0.242529983816287
"12",13,90.6270458105648,0.246159533387327
"13",14,86.4343559622974,0.249476308988141
"14",15,81.0556955057767,0.249948029230384
"15",16,85.5640544117819,0.258596675595249
"16",17,81.0292468278544,0.258563992341304
"17",18,78.7338666371106,0.257709260537167
"18",19,85.8781573410031,0.252661970273275
"19",20,82.9666659685166,0.250263843421762
"20",21,80.1403526094794,0.250275087449551
"21",22,77.0832944273643,0.250768921636534
"22",23,74.1319535628971,0.251114716950529
"23",24,72.4932130225265,0.250191731471815
"24",25,70.4938756737183,0.250926321614087
