"","Cluster","Count","Proportion"
"1","Cor(28) clust",1,0.012987012987013
"2","Cor(3) clust",11,0.142857142857143
"3","Dolo(1) clust",27,0.350649350649351
"4","Fus(72)/Strep(150)/Prev(254) clust",1,0.012987012987013
"5","Mor(5) clust",5,0.0649350649350649
"6","Staph(2) clust",30,0.38961038961039
"7","Strep(23)/Strep(8) clust",2,0.025974025974026
