"","Cluster","Count","Proportion"
"1","Fuso(72)/Por(76)/Prev(128) clust",8,0.041025641025641
"2","Strep(4)/Prev(12)/Veill(6) clust",13,0.0666666666666667
"3","Strep(4)/Veill(6) clust",30,0.153846153846154
"4","Strep(8)/Gem(27) clust",6,0.0307692307692308
"5","Strep(8)/Neis(13)/Hae(14) clust",45,0.230769230769231
"6","Veill(6)/Strep(4)/Prev(11) clust",93,0.476923076923077
