"","Cluster","Count","Proportion"
"1","Fuso(72)/Por(76)/Prev(128) clust",2,0.0217391304347826
"2","Strep(4)/Prev(12)/Veill(6) clust",9,0.0978260869565217
"3","Strep(4)/Veill(6) clust",22,0.239130434782609
"4","Strep(8)/Gem(27) clust",7,0.0760869565217391
"5","Strep(8)/Neis(13)/Hae(14) clust",11,0.119565217391304
"6","Veill(6)/Strep(4)/Prev(11) clust",41,0.445652173913043
