"cluster","CP","GF","Total_CP","Total_GF","Proportion_CP","Proportion_GF"
"Fuso(72)/Por(76)/Prev(128) clust",8,2,195,92,4.1025641025641,2.17391304347826
"Strep(4)/Prev(12)/Veill(6) clust",13,9,195,92,6.66666666666667,9.78260869565217
"Strep(4)/Veill(6) clust",30,22,195,92,15.3846153846154,23.9130434782609
"Strep(8)/Gem(27) clust",6,7,195,92,3.07692307692308,7.60869565217391
"Strep(8)/Neis(13)/Hae(14) clust",45,11,195,92,23.0769230769231,11.9565217391304
"Veill(6)/Strep(4)/Prev(11) clust",93,41,195,92,47.6923076923077,44.5652173913043
