"Cluster","PopulationGF_Estimate","PopulationGF_p_value","Adjusted_p_value"
"Strep(4)/Prev(12)/Veill(6) clust",0.225689793337649,0.682656796522655,0.682656796522655
"Veill(6)/Strep(4)/Prev(11) clust",-0.380975648560213,0.230141552861945,0.306855403815926
"Strep(4)/Veill(6) clust",0.936197556616552,0.0125426842147737,0.0501707368590947
"Strep(8)/Neis(13)/Hae(14) clust",-0.55365792699192,0.188471534795681,0.306855403815926
