"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)"
"smoked_ever24","Strep(4)/Veill(6) clust","meca_RF_preds",0.603075244704008,0.366737937317313,1.64443103191206,0.100087199520411
"sampling_seasonFall4","Strep(4)/Veill(6) clust","meca_RF_preds",-0.268090919268756,0.254712219354845,-1.0525247667654,0.292558853686468
"sampling_seasonSpring4","Strep(4)/Veill(6) clust","meca_RF_preds",-0.382249883116876,0.25109255216882,-1.5223465603228,0.127922267395358
"sampling_seasonWinter4","Strep(4)/Veill(6) clust","meca_RF_preds",-0.0112657632179183,0.246553806845616,-0.0456929193754959,0.963555007436383
"(Intercept)5","Veill(6)/Strep(4)/Prev(11) clust","(Intercept)",0.163189486344513,0.503038128220558,0.324407787778985,0.745629324501518
"KRD_nGoatsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0119578017327823,0.041474638734691,-0.288315994969241,0.773104864548182
"KRD_nCowsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nCowsWghtDist.3000m.sum",-0.00580804893501495,0.0309389597368421,-0.187726057515073,0.851091402468791
"KRD_nPoultryWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nPoultryWghtDist.3000m.sum",-0.000121262328955777,0.000224434768291658,-0.540300996493526,0.58898947128461
"KRD_nPigsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nPigsWghtDist.3000m.sum",-0.00139345272802584,0.00328535398057727,-0.42414081899966,0.671463118008199
"age5","Veill(6)/Strep(4)/Prev(11) clust","age",-0.000408184686738197,0.00684485114315395,-0.0596338296043812,0.952447274176186
"gender15","Veill(6)/Strep(4)/Prev(11) clust","gender1",-0.00480011571458257,0.131722107658141,-0.0364412307085181,0.970930538646317
"smoked_ever15","Veill(6)/Strep(4)/Prev(11) clust","smoked_ever1",0.00573311445614968,0.138212807595812,0.0414803414812,0.966912964589433
"smoked_ever25","Veill(6)/Strep(4)/Prev(11) clust","smoked_ever2",-0.0203012386314831,0.323104397053474,-0.062831824068687,0.94990042398452
"sampling_seasonFall5","Veill(6)/Strep(4)/Prev(11) clust","sampling_seasonFall",-0.0212212377220673,0.209005515447259,-0.101534343132789,0.919126296539452
"sampling_seasonSpring5","Veill(6)/Strep(4)/Prev(11) clust","sampling_seasonSpring",0.0962293741187443,0.204135538920853,0.471399417404013,0.637355531946803
"sampling_seasonWinter5","Veill(6)/Strep(4)/Prev(11) clust","sampling_seasonWinter",-0.267409352927627,0.207805295564104,-1.28682646032539,0.198154782010766
"(Intercept)6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.629565300219112,0.788960768479603,-0.797967814587715,0.424889167858774
"ecoli_RF_preds1","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.177416628312188,0.175355480999524,1.01175410828858,0.311655637345869
"age6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.000168716077031653,0.00682602339869745,0.0247165981095006,0.980281015748141
"gender16","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.00843960133063654,0.131640139410552,-0.0641111546100358,0.948881720025455
"smoked_ever16","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.00337243972519281,0.137980673022518,0.0244413920538164,0.980500532092428
"smoked_ever26","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.00928922605123037,0.32147281493775,0.0288958369715621,0.976947665852461
"sampling_seasonFall6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.00310489793668091,0.207866623694317,-0.0149369719943443,0.98808246382202
"sampling_seasonSpring6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.122033236904556,0.202891569429646,0.601470220017554,0.547526840931194
"sampling_seasonWinter6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.277225845985677,0.207502032590858,-1.33601508633073,0.181544342315118
"(Intercept)7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",-0.336878889579402,0.905942106344054,-0.371854765575344,0.710000985687568
"staph_RF_preds1","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.0438280974346422,0.0983677722112179,0.445553421099477,0.65591986306667
"age7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.000174561731587537,0.0068398393147216,0.0255213205391861,0.979639142693813
"gender17","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",-0.00875938319675519,0.13158688856564,-0.0665672947528182,0.946926182978616
"smoked_ever17","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.00460576091469574,0.137919374057389,0.0333945897461749,0.973359924015201
"smoked_ever27","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.00284821106293888,0.321320838101334,0.00886407205884559,0.992927586373871
"sampling_seasonFall7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",-0.0131801760285969,0.208075815309609,-0.0633431425415075,0.949493261939268
"sampling_seasonSpring7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.111409456824142,0.202676374237524,0.549691384816158,0.58253106690079
"sampling_seasonWinter7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",-0.278609440334511,0.207576510870486,-1.34220119206236,0.179530770083975
"(Intercept)8","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",-1.8820450178694,1.54033262991827,-1.22184324431877,0.221766911661846
"tetw_RF_preds1","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",0.192458726416063,0.149253714393676,1.2894736134233,0.197233483941965
"age8","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",0.000125657325285013,0.00682568544797289,0.018409480812265,0.985312189130692
"gender18","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",-0.00991631574737752,0.131681928996941,-0.0753050613923484,0.939971994510911
"smoked_ever18","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",-9.82618305244929e-05,0.138063876708632,-0.000711712816320979,0.999432135380073
"smoked_ever28","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",0.0088367352371455,0.321502918736953,0.0274857076628145,0.978072339174708
"sampling_seasonFall8","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",-0.00057476630984659,0.207953112435621,-0.00276392261272132,0.997794711627854
"sampling_seasonSpring8","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",0.125915361237718,0.203014130640659,0.620229541856824,0.535106674697206
"sampling_seasonWinter8","Veill(6)/Strep(4)/Prev(11) clust","tetw_RF_preds",-0.278124807289602,0.207559646483181,-1.33997533722018,0.180253363180468
"(Intercept)9","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",-0.172462737147014,0.606293638759136,-0.284454142550436,0.776062372018363
"meca_RF_preds1","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",0.0675923750078073,0.141632625323987,0.477237323344028,0.633193136449772
"age9","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",9.09073165298667e-05,0.00682704524768929,0.0133157630031287,0.989375872245297
"gender19","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",-0.0106772345577686,0.131619429788593,-0.0811220241184629,0.935344910695744
"smoked_ever19","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",0.0034516694929089,0.137934698972982,0.0250239389987359,0.980035869025739
"smoked_ever29","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",0.000900608355431312,0.321214497792541,0.00280375998474694,0.99776292612694
"sampling_seasonFall9","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",-0.00718180565873312,0.2077299594901,-0.0345727967037677,0.972420393613082
"sampling_seasonSpring9","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",0.118002152847059,0.20284254627232,0.581742612758563,0.560740063917503
"sampling_seasonWinter9","Veill(6)/Strep(4)/Prev(11) clust","meca_RF_preds",-0.27768545346852,0.207490859637956,-1.33830210136989,0.1807979771063
"(Intercept)10","Strep(8)/Neis(13)/Hae(14) clust","(Intercept)",-0.745136964444436,0.626667981042766,-1.18904585360264,0.234421623626368
"KRD_nGoatsWghtDist.3000m.sum2","Strep(8)/Neis(13)/Hae(14) clust","KRD_nGoatsWghtDist.3000m.sum",0.0532271707629916,0.0519159464924769,1.02525667659174,0.305242091924445
"KRD_nCowsWghtDist.3000m.sum2","Strep(8)/Neis(13)/Hae(14) clust","KRD_nCowsWghtDist.3000m.sum",-0.0491658066243728,0.0409995497955862,-1.1991791829301,0.230458279913738
"KRD_nPoultryWghtDist.3000m.sum2","Strep(8)/Neis(13)/Hae(14) clust","KRD_nPoultryWghtDist.3000m.sum",-0.000143901039405896,0.000294562313938171,-0.488524949040497,0.625178058310091
"KRD_nPigsWghtDist.3000m.sum2","Strep(8)/Neis(13)/Hae(14) clust","KRD_nPigsWghtDist.3000m.sum",0.00481662442360771,0.00413514536043563,1.16480171886879,0.244099262964154
"age10","Strep(8)/Neis(13)/Hae(14) clust","age",-0.0178140617869035,0.0083971047321337,-2.12145285252111,0.0338837115622825
"gender110","Strep(8)/Neis(13)/Hae(14) clust","gender1",0.568984406402633,0.17216544642028,3.30486992734688,0.000950204873988819
"smoked_ever110","Strep(8)/Neis(13)/Hae(14) clust","smoked_ever1",-0.226670506243384,0.174326334795975,-1.30026542753091,0.193510012981146
"smoked_ever210","Strep(8)/Neis(13)/Hae(14) clust","smoked_ever2",-1.83153273653361,0.738086605258379,-2.48146047291084,0.013084522135866
"sampling_seasonFall10","Strep(8)/Neis(13)/Hae(14) clust","sampling_seasonFall",0.126231641307125,0.291883015927468,0.432473403449048,0.665397378530449
"sampling_seasonSpring10","Strep(8)/Neis(13)/Hae(14) clust","sampling_seasonSpring",0.603511930992743,0.274480792385218,2.19874012220771,0.0278964063000542
"sampling_seasonWinter10","Strep(8)/Neis(13)/Hae(14) clust","sampling_seasonWinter",0.400178636209704,0.282267648704106,1.4177276001941,0.156270308796163
"(Intercept)11","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",-0.653974109481594,1.00314509735463,-0.651923745833153,0.514450365507528
"ecoli_RF_preds2","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",-0.0366531515853871,0.22550219574282,-0.16254010948607,0.870880545398189
"age11","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",-0.0179886876726887,0.00836360721293016,-2.1508288486908,0.0314897111711598
"gender111","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",0.568891607118888,0.171845907276543,3.3104751584418,0.000931377188856181
"smoked_ever111","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",-0.212704986619005,0.173672232375026,-1.22474953946404,0.220669602556473
"smoked_ever211","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",-1.86870935452213,0.737096647967146,-2.53522975538673,0.0112373596381367
"sampling_seasonFall11","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",0.108462744851683,0.290158722712808,0.373804874234427,0.708549492853943
"sampling_seasonSpring11","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",0.594716325534116,0.272508532288521,2.18237689858626,0.0290817278472202
"sampling_seasonWinter11","Strep(8)/Neis(13)/Hae(14) clust","ecoli_RF_preds",0.38414913697115,0.281407461963266,1.36509932711484,0.172221833514702
