"","Cluster","Count","Proportion"
"1","Fuso(72)/Por(76)/Prev(128) clust",15,0.0153374233128834
"2","Strep(4)/Prev(12)/Veill(6) clust",57,0.0582822085889571
"3","Strep(4)/Veill(6) clust",198,0.202453987730061
"4","Strep(8)/Gem(27) clust",38,0.0388548057259714
"5","Strep(8)/Neis(13)/Hae(14) clust",194,0.198364008179959
"6","Veill(6)/Strep(4)/Prev(11) clust",476,0.486707566462168
