"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)","Covariate","BH_adjusted_pvalue"
"KRD_nPigsWghtDist.3000m.sum3","Strep(8)/Gem(27) clust","KRD_nPigsWghtDist.3000m.sum",-0.0033311169671652,0.00815241825965644,-0.408604767452839,0.682829731436285,"KRD_nPigsWghtDist.3000m.sum",0.915883421629011
"ecoli_RF_preds3","Strep(8)/Gem(27) clust","ecoli_RF_preds",-0.354803044480334,0.452397956314014,-0.784271987811681,0.432880532555492,"ecoli_RF_preds",0.813018379896078
"staph_RF_preds3","Strep(8)/Gem(27) clust","staph_RF_preds",-0.0936552041701276,0.256726036359705,-0.364806022396985,0.715256209253046,"staph_RF_preds",0.919777626095838
"tetw_RF_preds3","Strep(8)/Gem(27) clust","tetw_RF_preds",-0.390115012049067,0.369420396433142,-1.05601914733387,0.290959467134484,"tetw_RF_preds",0.705412649194435
"meca_RF_preds3","Strep(8)/Gem(27) clust","meca_RF_preds",-0.123562634959975,0.366206472670267,-0.337412482250775,0.735805976325816,"meca_RF_preds",0.919777626095838
"KRD_nGoatsWghtDist.3000m.sum4","Strep(4)/Prev(12)/Veill(6) clust","KRD_nGoatsWghtDist.3000m.sum",0.20253046177123,0.0749776287995003,2.70121188165103,0.0069087310107454,"KRD_nGoatsWghtDist.3000m.sum",0.218545909539435
"KRD_nCowsWghtDist.3000m.sum4","Strep(4)/Prev(12)/Veill(6) clust","KRD_nCowsWghtDist.3000m.sum",-0.0580939470682818,0.0723825120033704,-0.802596448511993,0.42220802174589,"KRD_nCowsWghtDist.3000m.sum",0.810384638035277
"KRD_nPoultryWghtDist.3000m.sum4","Strep(4)/Prev(12)/Veill(6) clust","KRD_nPoultryWghtDist.3000m.sum",-0.00052965103076297,0.00052354858658322,-1.01165592714054,0.311702595146883,"KRD_nPoultryWghtDist.3000m.sum",0.705412649194435
"KRD_nPigsWghtDist.3000m.sum4","Strep(4)/Prev(12)/Veill(6) clust","KRD_nPigsWghtDist.3000m.sum",0.00472555832393635,0.00713916089510296,0.66192069255335,0.50802204956531,"KRD_nPigsWghtDist.3000m.sum",0.84590101619534
"ecoli_RF_preds4","Strep(4)/Prev(12)/Veill(6) clust","ecoli_RF_preds",-0.473566067380107,0.372279874852624,-1.27207001873948,0.20334824248462,"ecoli_RF_preds",0.623205938528359
"staph_RF_preds4","Strep(4)/Prev(12)/Veill(6) clust","staph_RF_preds",-0.294715361358341,0.21124369515837,-1.39514394092279,0.162972437858868,"staph_RF_preds",0.623205938528359
"tetw_RF_preds4","Strep(4)/Prev(12)/Veill(6) clust","tetw_RF_preds",-0.453238029955147,0.302429354492687,-1.49865753182404,0.133962499298018,"tetw_RF_preds",0.593556919966604
"meca_RF_preds4","Strep(4)/Prev(12)/Veill(6) clust","meca_RF_preds",-0.290390030323666,0.307321984010309,-0.94490484063101,0.344707460021117,"meca_RF_preds",0.7193894817832
"KRD_nGoatsWghtDist.3000m.sum5","Fuso(72)/Por(76)/Prev(128) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0678074671531049,0.167101689733383,-0.405785646221139,0.684900106165096,"KRD_nGoatsWghtDist.3000m.sum",0.915883421629011
"KRD_nCowsWghtDist.3000m.sum5","Fuso(72)/Por(76)/Prev(128) clust","KRD_nCowsWghtDist.3000m.sum",0.0186789299859841,0.123113931777835,0.151720684379499,0.879407242262233,"KRD_nCowsWghtDist.3000m.sum",0.989333147545013
"KRD_nPoultryWghtDist.3000m.sum5","Fuso(72)/Por(76)/Prev(128) clust","KRD_nPoultryWghtDist.3000m.sum",0.00101932074113277,0.000705484491677705,1.44485208839777,0.148499436481008,"KRD_nPoultryWghtDist.3000m.sum",0.623205938528359
"KRD_nPigsWghtDist.3000m.sum5","Fuso(72)/Por(76)/Prev(128) clust","KRD_nPigsWghtDist.3000m.sum",0.00539154364907403,0.0127652361346709,0.422361450441985,0.672761211101178,"KRD_nPigsWghtDist.3000m.sum",0.915883421629011
"ecoli_RF_preds5","Fuso(72)/Por(76)/Prev(128) clust","ecoli_RF_preds",0.735772022031874,0.762471661062197,0.96498277851648,0.334553437620664,"ecoli_RF_preds",0.710920405583113
"staph_RF_preds5","Fuso(72)/Por(76)/Prev(128) clust","staph_RF_preds",0.0788186261607,0.42961017088604,0.183465456597879,0.854432820360008,"staph_RF_preds",0.976494651840009
"tetw_RF_preds5","Fuso(72)/Por(76)/Prev(128) clust","tetw_RF_preds",0.693934716918525,0.717284587442917,0.967446853127525,0.333320697513517,"tetw_RF_preds",0.710920405583113
"meca_RF_preds5","Fuso(72)/Por(76)/Prev(128) clust","meca_RF_preds",0.651704101628808,0.6107491611649,1.06705689187652,0.285946146338228,"meca_RF_preds",0.705412649194435
