"","k","Calinski-Harabasz","Silhouette"
"1",2,187.721042514645,0.192781077435008
"2",3,120.37815108461,0.169401785943706
"3",4,105.40242936888,0.0813468818922776
"4",5,89.8592547007956,0.0840180099041048
"5",6,78.8801779235444,0.089762761854008
"6",7,67.0331005211252,0.0876737839068871
"7",8,59.4862763424911,0.0890346438303886
"8",9,52.7439702622433,0.0895873553214215
"9",10,50.3818710843876,0.0803544506850436
"10",11,49.9645616533864,0.064504711420323
"11",12,46.0722281983965,0.064564871048575
"12",13,44.5412461728779,0.0609110071852313
"13",14,41.5652766041266,0.0606566481759227
"14",15,39.6700929795934,0.0500570385957554
"15",16,37.4045772024828,0.0504752473362138
"16",17,38.9296492399276,0.0468304611727702
"17",18,37.2456668627584,0.0433061594579015
"18",19,35.4392397594766,0.0434241188425207
"19",20,34.8184824539911,0.0413356805018347
"20",21,33.4543535601512,0.0420232512576899
"21",22,32.0383726451039,0.0417647027471295
"22",23,31.7051895844208,0.0377342461904581
"23",24,31.1391945686398,0.0276531773598428
"24",25,31.2634632978825,0.0260938415478212
