"","Df","SumOfSqs","R2","F","Pr(>F)"
"GoatFarmExposureCategory",2,3.29310196190802,0.0591043947154358,4.94717592999264,0.001
"gender",1,0.58004549260992,0.0104106213972987,1.7427866689423,0.067
"age",1,0.642368582771846,0.0115291924477626,1.93004068967915,0.038
"smoked_ever",2,0.434365962901076,0.00779597401453693,0.652541239636326,0.897
"sampling_season",3,1.17567984085632,0.0211010306321313,1.17747037642933,0.223
"Residual",149,49.5911404069498,0.890058786792835,NA,NA
"Total",158,55.716702247997,1,NA,NA
